44.31.62.0/24,CA,CA-ON,Oakville,L6H0M3
44.31.119.0/24,CA,CA-ON,Toronto,M5A2Y5
2a12:dd47:9000::/36,CA,CA-ON,Oakville,L6H0M3
2a12:dd47:9011::/48,CA,CA-ON,Toronto,M5A2Y5
2a12:dd47:9013::/48,EU,,,
